,md5hash,fitzpatrick,fitzpatrick_centaur,label,nine_partition_label,three_partition_label,qc,url,url_alphanum,low,mid,high,hasher,REWT_weights,RESM_weights,skin_tone
3279,32eaca7cb6a5408f4ad5a090187cdb25,2,1,7,malignant epidermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/s/solid-cysticbasalcell-carcinoma/solid-cysticbasalcell-carcinoma11.jpg,httpwwwdermaamincomsiteimagesclinicalpicssolidcysticbasalcellcarcinomasolidcysticbasalcellcarcinoma11jpg.jpg,97,7,1,32eaca7cb6a5408f4ad5a090187cdb25,0.8741153030106127,0.0013477088948787,light
12138,c87afc3b4e065671c3ada2712136b348,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption17.jpg,httpwwwdermaamincomsiteimagesclinicalpicddrugeruptiondrugeruption17jpg.jpg,19,4,2,c87afc3b4e065671c3ada2712136b348,1.049710400126734,0.0004878048780487,light
3650,ea23f6fdf9c8168d76c0f6d984bcc7f5,2,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris234.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnevulgarisacnevulgaris234jpg.jpg,2,4,2,ea23f6fdf9c8168d76c0f6d984bcc7f5,1.0341127806575112,0.0002945508100147,light
7438,aa5a43b11014146e92a309ce37eaddfc,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/m/morphea-linear/morphea-linear19.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmorphealinearmorphealinear19jpg.jpg,93,4,2,aa5a43b11014146e92a309ce37eaddfc,1.049710400126734,0.0004878048780487,light
3568,a4d86ff0f5c85e2fe204ece83b710f1a,2,2,7,malignant epidermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma/basal_cell_carcinoma2.jpg,httpwwwdermaamincomsiteimagesclinicalpicbbasalcellcarcinomabasalcellcarcinoma2jpg.jpg,8,7,1,a4d86ff0f5c85e2fe204ece83b710f1a,0.8741153030106127,0.0013477088948787,light
9377,23a15744e68d05f8323959af939a4ca7,2,2,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/scabies/scabies70.jpg,httpwwwdermaamincomsiteimagesclinicalpicsscabiesscabies70jpg.jpg,92,4,2,23a15744e68d05f8323959af939a4ca7,1.0341127806575112,0.0002945508100147,light
15127,6aa0ad542e643b2586aa98be8982483b,3,4,4,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5638,httpwwwatlasdermatologicocombrimgimageId5638.jpg,79,4,2,6aa0ad542e643b2586aa98be8982483b,1.0162008279234411,0.0004206983592763,light
5545,c1f2f9f043578ac48b0005c61dafeb2a,4,2,0,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/s/sebaceousc-cyst/sebaceousc-cyst8.jpg,httpwwwdermaamincomsiteimagesclinicalpicssebaceousccystsebaceousccyst8jpg.jpg,59,0,0,c1f2f9f043578ac48b0005c61dafeb2a,1.0222169884847945,0.0027247956403269,dark
10740,acdfb34401937b38a1534333925fd5b8,1,1,3,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/t/tuberous_sclerosis/tuberous_sclerosis67.jpg,httpwwwdermaamincomsiteimagesclinicalpicttuberoussclerosistuberoussclerosis67jpg.jpg,107,3,2,acdfb34401937b38a1534333925fd5b8,1.049710400126734,0.0004878048780487,light
15380,dde671617863ac328e932d861d26d499,3,3,4,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6696,httpwwwatlasdermatologicocombrimgimageId6696.jpg,95,4,2,dde671617863ac328e932d861d26d499,1.0162008279234411,0.0004206983592763,light
2789,ca978ef3a4f3a37217974f51f15fc693,2,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/n/nodular-scabies/nodular-scabies3.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnodularscabiesnodularscabies3jpg.jpg,92,4,2,ca978ef3a4f3a37217974f51f15fc693,1.0341127806575112,0.0002945508100147,light
6974,691a47e6a09b3f5b580350844fb47557,2,2,3,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/t/tuberous_sclerosis/tuberous_sclerosis70.jpg,httpwwwdermaamincomsiteimagesclinicalpicttuberoussclerosistuberoussclerosis70jpg.jpg,107,3,2,691a47e6a09b3f5b580350844fb47557,1.0341127806575112,0.0002945508100147,light
5147,b33b8ed580619fb75c99b507ef8803fe,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris301.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnevulgarisacnevulgaris301jpg.jpg,2,4,2,b33b8ed580619fb75c99b507ef8803fe,1.049710400126734,0.0004878048780487,light
801,217657e2d7ccab2804ee05133ec551ae,1,1,4,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/m/mixedc-onnective-tissue-disease/mixedc-onnective-tissue-disease6.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmixedconnectivetissuediseasemixedconnectivetissuedisease6jpg.jpg,52,4,2,217657e2d7ccab2804ee05133ec551ae,1.049710400126734,0.0004878048780487,light
1244,238ade66921ce82f2fc2b6ac4862329c,5,5,1,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis82.jpg,httpwwwdermaamincomsiteimagesclinicalpicpprurigonodularisprurigonodularis82jpg.jpg,85,1,0,238ade66921ce82f2fc2b6ac4862329c,1.300628302358137,0.0062893081761006,dark
3628,d3b74982c7011d82c1c874bd9e293fa4,1,1,5,malignant cutaneous lymphoma,malignant,,https://www.dermaamin.com/site/images/clinical-pic/m/mycosis-fongoide/mycosis-fongoide45.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmycosisfongoidemycosisfongoide45jpg.jpg,60,5,1,d3b74982c7011d82c1c874bd9e293fa4,0.8775868429803475,0.0022075055187637,light
